date,open,close,high,low,volume,month
2023-11-01 05:30:00,7520.0,7471.9,7549.0,7457.65,462778,2023-11
2023-11-02 05:30:00,7530.0,7449.1,7615.0,7411.2,855030,2023-11
2023-11-03 05:30:00,7528.0,7411.5,7537.95,7372.45,1138755,2023-11
2023-11-06 05:30:00,7456.0,7562.05,7571.95,7442.6,634043,2023-11
2023-11-07 05:30:00,7640.0,7495.6,7640.0,7446.0,1563007,2023-11
2023-11-08 05:30:00,7527.0,7459.95,7536.0,7406.65,916717,2023-11
2023-11-09 05:30:00,7485.0,7386.7,7485.0,7366.7,771791,2023-11
2023-11-10 05:30:00,7370.0,7444.8,7454.0,7346.45,496261,2023-11
2023-11-12 05:30:00,7470.05,7456.9,7498.0,7447.05,79745,2023-11
2023-11-13 05:30:00,7447.8,7360.85,7450.0,7319.0,732240,2023-11
2023-11-15 05:30:00,7439.4,7224.3,7476.2,7119.15,1923440,2023-11
2023-11-16 05:30:00,6944.55,7362.45,7380.7,6931.25,4557043,2023-11
2023-11-17 05:30:00,7140.5,7221.0,7260.0,7108.05,2080034,2023-11
2023-11-20 05:30:00,7151.0,7068.6,7239.0,7050.1,1902940,2023-11
2023-11-21 05:30:00,7085.0,7103.15,7128.85,7030.0,1666225,2023-11
2023-11-22 05:30:00,7086.45,7128.35,7177.85,7065.5,1041404,2023-11
2023-11-23 05:30:00,7135.0,7073.65,7160.0,7056.0,606158,2023-11
2023-11-24 05:30:00,7108.0,7020.8,7116.8,7011.0,726499,2023-11
2023-11-28 05:30:00,7035.0,7127.55,7135.0,7029.9,728158,2023-11
2023-11-29 05:30:00,7134.0,7130.1,7168.6,7114.05,682430,2023-11
2023-11-30 05:30:00,7132.0,7121.9,7163.6,7085.65,1271934,2023-11
2023-12-01 05:30:00,7160.0,7259.35,7279.85,7142.0,900477,2023-12
2023-12-04 05:30:00,7340.0,7407.65,7420.0,7315.05,1101426,2023-12
2023-12-05 05:30:00,7430.0,7349.8,7440.0,7320.05,1522242,2023-12
2023-12-06 05:30:00,7390.0,7427.1,7459.0,7365.05,701800,2023-12
2023-12-07 05:30:00,7390.0,7391.2,7440.0,7326.0,668862,2023-12
2023-12-08 05:30:00,7390.55,7307.6,7398.1,7274.0,1144388,2023-12
2023-12-11 05:30:00,7325.0,7292.75,7352.7,7270.05,590055,2023-12
2023-12-12 05:30:00,7280.0,7314.55,7354.0,7280.0,633312,2023-12
2023-12-13 05:30:00,7299.85,7258.0,7304.5,7207.0,682955,2023-12
2023-12-14 05:30:00,7368.5,7474.2,7511.25,7300.1,1729567,2023-12
2023-12-15 05:30:00,7528.85,7515.05,7528.9,7445.0,1173938,2023-12
2023-12-18 05:30:00,7548.0,7587.6,7610.0,7526.0,1082798,2023-12
2023-12-19 05:30:00,7641.0,7632.65,7641.6,7535.0,791408,2023-12
2023-12-20 05:30:00,7650.0,7493.95,7695.0,7460.15,874546,2023-12
2023-12-21 05:30:00,7426.6,7367.15,7477.0,7305.5,913082,2023-12
2023-12-22 05:30:00,7418.95,7295.3,7440.0,7243.0,1129485,2023-12
2023-12-26 05:30:00,7325.0,7162.3,7344.0,7145.25,1225844,2023-12
2023-12-27 05:30:00,7219.9,7232.8,7323.4,7190.9,1605279,2023-12
2023-12-28 05:30:00,7275.0,7258.65,7290.0,7200.0,1856064,2023-12
2023-12-29 05:30:00,7231.65,7327.75,7343.0,7205.15,912802,2023-12
2024-01-01 05:30:00,7336.95,7299.05,7336.95,7273.0,331489,2024-01
2024-01-02 05:30:00,7324.0,7430.05,7445.1,7280.05,1112990,2024-01
2024-01-03 05:30:00,7444.95,7384.8,7485.85,7368.2,553405,2024-01
2024-01-04 05:30:00,7560.0,7705.55,7733.95,7560.0,2911879,2024-01
2024-01-05 05:30:00,7734.95,7711.15,7789.0,7673.1,1052601,2024-01
2024-01-08 05:30:00,7677.0,7736.0,7830.0,7631.3,1121209,2024-01
2024-01-09 05:30:00,7774.0,7725.45,7810.0,7698.0,1247083,2024-01
2024-01-10 05:30:00,7716.0,7680.55,7735.25,7660.0,559072,2024-01
2024-01-11 05:30:00,7680.0,7669.75,7793.3,7651.05,651741,2024-01
2024-01-12 05:30:00,7684.0,7661.05,7718.95,7617.0,808638,2024-01
2024-01-15 05:30:00,7697.95,7478.0,7697.95,7454.0,997220,2024-01
2024-01-16 05:30:00,7475.0,7456.65,7614.5,7427.9,1194723,2024-01
2024-01-17 05:30:00,7303.3,7358.85,7478.2,7302.2,1380271,2024-01
2024-01-18 05:30:00,7296.0,7265.55,7351.75,7234.0,1686996,2024-01
2024-01-19 05:30:00,7360.0,7319.1,7388.8,7261.25,830810,2024-01
2024-01-20 05:30:00,7327.75,7301.3,7386.3,7291.0,219358,2024-01
2024-01-23 05:30:00,7352.9,7070.7,7355.0,7042.6,2533297,2024-01
2024-01-24 05:30:00,7104.0,7055.3,7104.0,6996.8,2063675,2024-01
2024-01-25 05:30:00,7055.3,7085.5,7125.8,7036.0,1168349,2024-01
2024-01-29 05:30:00,7085.5,7191.65,7224.95,7085.1,1860361,2024-01
2024-01-30 05:30:00,6988.5,6817.2,6988.5,6805.0,4153147,2024-01
2024-01-31 05:30:00,6820.0,6862.9,6921.0,6812.0,1810512,2024-01
2024-02-01 05:30:00,6865.9,6743.3,6879.95,6733.0,1911137,2024-02
